game_date,game_pk,player_name,batter,pitcher,stand,p_throws,pit_handR,bat_handR,home_team,away_team,outs_when_up,inning,inning_topbot,launch_speed,launch_angle,hit_direction,is_gb,is_ld,is_fb,is_pu,hangtime,distance,landing_x,landing_y,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,a3,a4,a5,a6,a7,a8,a9,d3,d4,d5,d6,d7,d8,d9,ad3,ad4,ad5,ad6,responsible_fielder,responsible_fielder_x,responsible_fielder_y,responsible_fielder_angle,responsible_fielder_depth,responsible_fielder_coords_diff,responsible_fielder_angle_diff,fielder_landing_x,fielder_landing_y,fielder_landing_angle_radians,is_out
2023-05-26,718019,"Chavez, Jesse",592206,445926,R,R,1,1,ATL,PHI,1,9,Top,95.6,3.0,-25.585118801368907,1,0,0,0,0.7514228,96.40459,-41.63246589066933,86.95160802651674,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,57.63569278063135,31.82816089181109,-7.890451769626459,11.114030629694135,5,-76.896164,116.285126,-33.475570570995366,139.410367500953,45.86920187932942,-7.890451769626459,35.26369810933067,-29.333517973483268,-0.6938523506728193,1
2023-05-25,718026,"Dodd, Dylan",592206,689266,R,L,0,1,ATL,PHI,1,3,Top,101.9,-3.0,-48.349139612330895,1,0,0,0,0.3570761,51.65769,-38.5990606275438,34.33117042471011,64.87676,103.62088,16.846207,153.99442,-76.896164,116.285126,-38.075928,147.53577,-139.90384,265.81088,8.199211,338.15524,136.38708,260.8384,32.050573979262445,6.2430420904421835,-33.475570570995366,-14.471088171674772,-27.75911058764725,1.3889719853407054,27.604150445042812,122.25498255724386,154.9131243033438,139.410367500953,152.3698780026882,300.38060585384005,338.2546280547838,294.34351785878755,80.39971359159334,54.592181702773075,14.873569041335529,33.87805144065612,5,-76.896164,116.285126,-33.475570570995366,139.410367500953,90.4605934159023,14.873569041335529,38.2971033724562,-81.9539555752899,-1.1336490206066983,0
2023-10-12,748561,"Johnson, Pierce",592663,572955,R,R,1,1,PHI,ATL,0,8,Bot,88.4,38.0,21.185966921598297,0,0,1,0,5.3419423,306.94943,110.93036192086208,286.2034395989018,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,10.780729156643588,-16.122013731521257,-52.808491488736024,-35.53603815767206,9,133.59303,263.03278,26.925786676360623,295.0141369817882,32.411047356007444,5.739819754762326,-22.662668079137916,23.170659598901807,2.3451114912922724,1
2023-10-12,748561,"Strider, Spencer",592663,675911,R,R,1,1,PHI,ATL,1,6,Bot,95.1,25.0,38.80745592231573,0,1,0,0,4.2364173,327.2724,205.1033219091219,255.02911810160566,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,-6.8407598440738475,-33.743502732238696,-70.42998048945347,-53.1575271583895,9,133.59303,263.03278,26.925786676360623,295.0141369817882,71.95679573682831,-11.88166924595511,71.51029190912189,-8.003661898394341,-0.11145935137796456,1
2023-10-12,748561,"Strider, Spencer",592663,675911,R,R,1,1,PHI,ATL,0,2,Bot,88.6,51.0,26.20914680693588,0,0,0,1,6.0494485,244.49962,107.98303334303755,219.36209328752693,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,5.757549271306004,-21.14519361685884,-57.83167137407361,-40.55921804300964,9,133.59303,263.03278,26.925786676360623,295.0141369817882,50.62608820271027,0.7166398694247427,-25.60999665696245,-43.67068671247307,-2.1011814646989735,1
2023-09-19,716521,"Strider, Spencer",592663,675911,R,R,1,1,ATL,PHI,1,7,Top,89.8,44.0,11.272636929226099,0,0,1,0,5.9571843,295.7772,57.81787586196696,290.0710948070441,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,20.694059149015786,-6.20868373914906,-42.895161496363826,-25.622708165299862,8,4.038879,339.9666,0.6806546128537686,339.99059054499827,73.36035674626822,-10.59198231637233,53.77899686196696,-49.89550519295591,-0.7479571652776908,1
2023-09-19,716521,"Strider, Spencer",592663,675911,R,R,1,1,ATL,PHI,1,5,Top,101.9,18.0,0.9725767606187372,0,1,0,0,3.8919454,367.0694,6.2305814471816285,367.016514681151,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,30.99411931762315,4.091376429458302,-32.59510132775647,-15.3226479966925,8,4.038879,339.9666,0.6806546128537686,339.99059054499827,27.138560092136984,-0.2919221477649686,2.191702447181629,27.049914681150995,1.4899485630189397,1
2023-09-19,716521,"Strider, Spencer",592663,675911,R,R,1,1,ATL,PHI,2,2,Top,98.7,1.0,42.70054589308811,1,0,0,0,0.6877417,90.45488,61.34348475838963,66.47602688358823,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,-10.733849814846227,-37.636592703011075,-74.32307046022584,-57.05061712916188,3,64.66946,103.626755,31.966696078241885,122.15008558540443,37.29931247204636,-10.733849814846227,-3.3259752416103723,-37.15072811641177,-1.6600848012084664,0
2023-09-18,716532,"Wright, Kyle",592663,657140,R,R,1,1,ATL,PHI,0,2,Top,81.6,-23.0,-41.47907120401851,1,0,0,0,0.1090324,12.967015,-8.588656245711574,9.71485814680425,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,73.44576728226039,46.543024394095546,9.856546636880779,27.128999967944747,5,-73.96304,120.11937,-31.62252456713773,141.0645041647207,128.30809128342378,9.856546636880779,65.37438375428843,-110.40451185319576,-1.0361799314419795,0
2023-09-12,716618,"Jiménez, Joe",592663,641729,R,R,1,1,PHI,ATL,0,8,Bot,99.4,34.0,12.452427777938436,0,0,1,0,5.687921,373.05148,80.44069168196887,364.2755882643621,64.66946,103.626755,13.691515,154.50821,-73.96304,120.11937,-37.77703,147.66591,-134.20432,268.66306,4.038879,339.9666,133.59303,263.03278,31.966696078241885,5.063953190077039,-31.62252456713773,-14.350071236073763,-26.5433437597251,0.6806546128537686,26.925786676360623,122.15008558540443,155.11365039995457,141.0645041647207,152.42153709941715,300.3175641137661,339.99059054499827,295.0141369817882,19.51426830030345,-7.388474587861396,-44.07495234507617,-26.8024990140122,8,4.038879,339.9666,0.6806546128537686,339.99059054499827,80.17583109346329,-11.771773165084667,76.40181268196888,24.308988264362085,0.3080447059642242,1
